SL,PAN Style,Image,Cat Lvl_1,Cat Lvl_2,Cat Lvl_3,Item,Color,Cost (€),Price (€),S,M,L,XL,XXL,3XL,6,8,10,12,14,16,18,19,20,21,22,23,24,48,50,52,54,56,58,62,68,74,80,86,92
47,PAN2022103E,,,,Padding Jacket,Mens Padding Jacket,Cappuccino,8.02,19.32,-,19,9,7,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
48,PAN2022103F,,,,Padding Jacket,Mens Padding Jacket,Coronet Blue,8.02,19.32, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
49,PAN2022103G,,,,Padding Jacket,Mens Padding Jacket,Metallic Navy,8.02,19.32,-,21,13,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
50,PAN2022103H,,,,Padding Jacket,Mens Padding Jacket,Smoke Green,8.02,19.32,-,12, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
51,PAN2022103I,,,,Padding Jacket,Mens Padding Jacket,Stucco,8.02,19.32, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
20,PAN2022094,,Men,Top,Padding Jacket,Mens Padding Jacket,MEHENDI,6.34,17.08,-,20,14,5,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
28,PAN2022094B,,,,Padding Jacket,Mens Padding Jacket,BURGANDY,6.34,17.08,-,20,11,9, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
29,PAN2022094C,,,,Padding Jacket,Mens Padding Jacket,NAVY BLUE,6.34,17.08,-,20,11,7,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
21,PAN2022096,,Men,Top,Padding Jacket,Mens Padding Jacket,Forget-Me-Not,6.17,16.85,-,19,13,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
53,PAN2022096C,,,,Padding Jacket,Mens Padding Jacket,Four Leaf Clover,6.17,16.85,-,13,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
54,PAN2022096D,,,,Padding Jacket,Mens Padding Jacket,Gray Ridge,6.17,16.85,-,17,12,11, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
55,PAN2022096E,,,,Padding Jacket,Mens Padding Jacket,Iceberg Green,6.17,16.85,-,20,12,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
56,PAN2022096F,,,,Padding Jacket,Mens Padding Jacket,Iced Coffee,6.17,16.85,-, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
57,PAN2022096G,,,,Padding Jacket,Mens Padding Jacket,Orange Rust,6.17,16.85,-,20,10,6,4, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
58,PAN2022096H,,,,Padding Jacket,Mens Padding Jacket,Oxblood Red,6.17,16.85,-,21,9,8,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
59,PAN2022096I,,,,Padding Jacket,Mens Padding Jacket,Pale Mauve,6.17,16.85,-,21,10,7,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
60,PAN2022096K,,,,Padding Jacket,Mens Padding Jacket,Peacoat Blue,6.17,16.85,-,19,6,6,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
61,PAN2022096L,,,,Padding Jacket,Mens Padding Jacket,Pompeian Red,6.17,16.85,-,20,11,8, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
62,PAN2022096M,,,,Padding Jacket,Mens Padding Jacket,Sea Spray,6.17,16.85,-,21,11,6,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
63,PAN2022096N,,,,Padding Jacket,Mens Padding Jacket,Trekking Green,6.17,16.85,-, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
64,PAN2022096O,,,,Padding Jacket,Mens Padding Jacket,White,6.17,16.85,-,18,14,7,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
65,PAN2022096P,,,,Padding Jacket,Mens Padding Jacket,Tap Shoe,6.17,16.85, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
66,PAN2022096Q,,,,Padding Jacket,Mens Padding Jacket,Bamboo,6.17,16.85,-,19,12,6,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
67,PAN2022096R,,,,Padding Jacket,Mens Padding Jacket,Chicory Coffee,6.17,16.85,-,21,10,7,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
68,PAN2022096S,,,,Padding Jacket,Mens Padding Jacket,China Blue,6.17,16.85,-, -   , -   , -   , -   , - , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
69,PAN2022096T,,,,Padding Jacket,Mens Padding Jacket,Dk Grey,6.17,16.85,-,17,13,9,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
22,PAN2022097,,Men,Top,Padding Jacket,Mens Padding Jacket,Brick Red,6.56,17.37,-,21,11,6,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
71,PAN2022097B,,,,Padding Jacket,Mens Padding Jacket,Kalamata,6.56,17.37,-,15,13,11,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
72,PAN2022097C,,,,Padding Jacket,Mens Padding Jacket,Metallic Navy,6.56,17.37,-,16,11,8,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
73,PAN2022097E,,,,Padding Jacket,Mens Padding Jacket,Tan,6.56,17.37,-,20,11,7,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
23,PAN2022111,,Men,Top,Padding Jacket,Mens Padding Jacket,Brick Red,4.84,15.07,-,19,13,6,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,,,,,,,Cappuccino,4.84,15.07,-,21,10,7,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,,,,,,,Dusted Clay,4.84,15.07,-,20,12,6,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,,,,,,,Ochre,4.84,15.07,-,20,10, -   ,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,,,,,,,Silver Blue,4.84,15.07,-,21,12,5,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,,,,,,,Chicory Coffee,4.84,15.07,-,19,11,8,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,,,,,,,Dk Grey,4.84,15.07,-,18,13,7,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,,,,,,,Ensign Blue,4.84,15.07,-,20,12,6,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,,,,,,,Forget-Me-Not,4.84,15.07,-,19,13,6,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,,,,,,,Four Leaf Clover,4.84,15.07,-,19,12,7,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,,,,,,,Iceberg Green,4.84,15.07,-,20,11,7,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,,,,,,,Peacoat Blue,4.84,15.07,-,19,11,8,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,,,,,,,Trekking Green,4.84,15.07, - , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,,,,,,,Black,4.84,15.07, - , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
24,PAN2022092,,Men,Top,Padding Jacket,Mens Padding Jacket,WHITE,8.66,20.18,-,21,10,7,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
31,PAN2022092B,,,,Padding Jacket,Mens Padding Jacket,NAVY,8.66,20.18,-,13,23,8,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
32,PAN2022092C,,,,Padding Jacket,Mens Padding Jacket,DUSTY GREEN,8.66,20.18,-,20,10,8,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
33,PAN2022092D,,,,Padding Jacket,Mens Padding Jacket,LIGHT GREY,8.66,20.18,-,24,7,8,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
