SL,Style,PAN Styl,Image,Cat Lvl_1,Cat Lvl_2,Cat Lvl_3,Item,Color,Cost (€),Price (€),S,M,L,XL,XXL,3XL,Total,Brand
,,,,,,,,Terracotta,3.02,12.65,  -   ,5,2,2,  -   ,  -   ,  9.00
,,,,,,,,Maroon,3.02,12.65,  -   ,6,1,3,  -   ,  -   ,  10.00
,,,,,,,,FOUR LEAF CLOVER,3.02,12.65,  -   ,5,4,1,  -   ,  -   ,  10.00
,,,,,,,,lt grey mel,3.02,12.65,  -   ,5,3,2,  -   ,  -   ,  10.00
,,,,,,,,Fuchia Purple,3.02,12.65,  -   ,2,3,2,  -   ,  -   ,  7.00
,,,,,,,,BLACK,3.02,12.65,  -   ,4,1,1,  -   ,  -   ,  6.00
,,,,,,,,Potent purple,3.02,12.65,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,,dark citron ,3.02,12.65,  -   ,15,  -   ,  -   ,  -   ,  -   ,  15.00
,,,,,,,,Riverside,3.02,12.65,  -   ,5,2,3,  -   ,  -   ,  10.00
,,,,,,,,Blueprint,3.02,12.65,  -   ,3,4,2,  -   ,  -   ,  9.00
,,,,,,,,STUCCO,3.02,12.65,  -   ,6,5,  -   ,  -   ,  -   ,  11.00
,,,,,,,,WHITE,3.02,12.65,  -   ,7,  -   ,2,  -   ,  -   ,  9.00
30,TTSWT-702,PAN2022008,,Women,Top,Sweater,Womens Sweater,WHITE,4.02,13.98,  -   ,5,4,  -   ,  -   ,  -   ,  9.00
,,,,,,,,BLACK,4.02,13.98,  -   ,7,2,  -   ,  -   ,  -   ,  9.00
,,,,,,,,SMOKE GREY,4.02,13.98,  -   ,3,3,2,  -   ,  -   ,  8.00
,,,,,,,,Sprucestone,4.02,13.98,  -   ,4,3,2,  -   ,  -   ,  9.00
,,,,,,,,Valerian,4.02,13.98,  -   ,5,3,1,  -   ,  -   ,  9.00
,,,,,,,,Minion Yellow,4.02,13.98,  -   ,6,  -   ,3,  -   ,  -   ,  9.00
,,,,,,,,Bright Marigold,4.02,13.98,  -   ,4,  -   ,12,  -   ,  -   ,  16.00
,,,,,,,,Fuchia Purple,4.02,13.98,  -   ,4,3,3,  -   ,  -   ,  10.00
31,CAW-1327,PAN2022009,,Women,Top,Sweater,Womens Sweater,WHITE,3.54,13.35,  -   ,5,2,2,  -   ,  -   ,  9.00
,,,,,,,,BLACK,3.54,13.35,  -   ,5,1,2,  -   ,  -   ,  8.00
,,,,,,,,mid grey mel,3.54,13.35,  -   ,5,2,2,  -   ,  -   ,  9.00
,,,,,,,,Blueprint,3.54,13.35,  -   ,4,  -   ,4,  -   ,  -   ,  8.00
,,,,,,,,Brown Mel,3.54,13.35,  -   ,5,3,  -   ,  -   ,  -   ,  8.00
,,,,,,,,Mustard,3.54,13.35,  -   ,5,3,2,  -   ,  -   ,  10.00
,,,,,,,,Valerian,3.54,13.35,  -   ,5,2,2,  -   ,  -   ,  9.00
,,,,,,,,Serenity,3.54,13.35,  -   ,3,4,2,  -   ,  -   ,  9.00
,,,,,,,,sprucestone,3.54,13.35,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
32,CAW-1331,PAN2022011,,Women,Top,Sweater,Womens Sweater,Peacoat Blue,3.26,12.97,  -   ,4,2,3,  -   ,  -   ,  9.00
,,,,,,,,Stucco,3.26,12.97,  -   ,5,6,  -   ,  -   ,  -   ,  11.00
,,,,,,,,charcoal mel,3.26,12.97,  -   ,5,2,3,  -   ,  -   ,  10.00
,,,,,,,,Four Leaf Clover,3.26,12.97,  -   ,7,1,  -   ,  -   ,  -   ,  8.00
,,,,,,,,Bright Marigold,3.26,12.97,  -   ,5,3,2,  -   ,  -   ,  10.00
,,,,,,,,Bubblegum,3.26,12.97,  -   ,4,5,1,  -   ,  -   ,  10.00
